No,단어 (한글),표기명,카테고리 그룹,카테고리 코드,AP 비용,주요 수치/능력,특수 효과 설명,사운드 효과,태그,로컬 에셋 경로,에테르AI CDN URL
81,맛,맛 (미식/포식),💖 회복/치유 (16종),heal,1,회복 7,맛있는 요리를 맛보아 체력 7을 회복하고 공격력 +2를 얻습니다.,playAttack,,./assets/06_회복_치유/food_tasty_맛/food_tasty_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/f20f7cb6-57fc-44b4-839b-615656dcc0c5.png
82,무,무 (음식/소화),💖 회복/치유 (16종),heal,1,-,소화 작용: 손패의 불필요한 타일 2장을 버리고 새 타일 3장을 즉시 드로우합니다.,playMagic,,./assets/06_회복_치유/radish_무/radish_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/76e70801-3b64-4324-9e65-8b362ccb8b97.png
83,마,마 (음식/강장),💖 회복/치유 (16종),heal,1,"회복 5, 최대HP +3",산약 마를 복용하여 최대 체력 +3 영구 증가 및 체력 5를 즉시 회복합니다.,playMagic,,./assets/06_회복_치유/yam_herb_마/yam_herb_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/6b9f2403-2a78-43f5-9a47-f2f78dfcfb62.png
84,묵,묵 (음식/유연),💖 회복/치유 (16종),heal,1,방어도 7,도토리묵의 탄력으로 7 방어도를 얻고 적의 단일 공격 피해를 4 흡수합니다.,playMagic,,./assets/06_회복_치유/jelly_food_묵/jelly_food_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/7d153e2a-b116-439d-9bd1-2c0f47e49fa7.png
85,북,북 (지휘/군악),✨ 버프/유틸 (16종),skill,1,-,전투 북을 울려 이번 전투 동안 모든 공격 단어의 피해량을 +3 증가시킵니다.,playShield,,./assets/02_방어_장비/drum_북/drum_1_32px.png,https://cdn.aetherforgeai.com/assets/0ea2c130-f3df-4311-993a-e41baa2d1824.png
86,기,기 (정신/집중),✨ 버프/유틸 (16종),skill,1,AP +1,기력을 끌어올려 즉시 1 AP를 추가 충전합니다.,playShield,,./assets/07_버프_유틸/chi_orb_기/chi_orb_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/208182cc-3853-4fe9-a71c-a8f5380c01c9.png
87,속,속 (기동/가속),✨ 버프/유틸 (16종),skill,1,-,가속 태세를 취해 이번 턴 단어 카드를 쓸 때마다 타일 1장씩 드로우(최대 3회)합니다.,playShield,,./assets/07_버프_유틸/speed_boots_속/speed_boots_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/915ceb7b-61e4-4680-bfc0-d6e0a8e6ff61.png
88,능,능 (잠재/각성),✨ 버프/유틸 (16종),skill,1,-,잠재능력을 개화하여 이번 턴에 사용하는 모든 단어 카드의 효과를 1.5배 증폭합니다.,playAttack,,./assets/07_버프_유틸/power_orb_능/power_orb_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/7a3eb6fd-31f0-42fb-8581-1a707e564e45.png
89,이,이 (지혜/이치),✨ 버프/유틸 (16종),skill,1,-,언어의 이치를 깨달아 다음 사용하는 단어 카드의 효과를 2배(100% 증폭)로 발동합니다.,playAttack,,./assets/07_버프_유틸/wisdom_gem_이/wisdom_gem_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/4928b978-1058-418a-9a46-bfec94b77afa.png
90,모,모 (단조/모루),✨ 버프/유틸 (16종),skill,1,-,대장간 모루로 무기를 벼려 다음 3회 공격의 피해량을 +4 증가시킵니다.,playAttack,,./assets/07_버프_유틸/anvil_tool_모/anvil_tool_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/8065d354-fbd1-4032-8051-721a8e0949df.png
91,심,심 (신체/고동),✨ 버프/유틸 (16종),skill,1,최대HP +8,심장을 강화하여 이번 전투 동안 최대 체력 +8 및 공격력 +2를 영구 획득합니다.,playAttack,,./assets/07_버프_유틸/heart_심/heart_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/b15e9c1f-a6f1-4353-b3c5-7b692bb9eb56.png
92,남,남 (자연/남풍),✨ 버프/유틸 (16종),skill,1,회복 6,따스한 남풍이 불어와 아군 체력 6 회복 및 공격력 +2 버프를 부여합니다.,playAttack,,./assets/07_버프_유틸/wind_south_남/wind_south_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d79c8a73-ab7a-463e-9f6e-ad586fb2f287.png
93,세,세 (기세/압도),✨ 버프/유틸 (16종),skill,1,피해 8,도도한 기세로 8 피해를 입히고 다음 내 카드의 공격력을 +4 증가시킵니다.,playAttack,,./assets/07_버프_유틸/power_surge_세/power_surge_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/e50221fa-f385-42bc-8ec2-2b524bc6bc75.png
94,순,순 (자연/순항),✨ 버프/유틸 (16종),skill,1,-,순풍의 돛을 올려 다음 턴 시작 시 자모 타일을 +2장 추가로 드로우합니다.,playAttack,,./assets/07_버프_유틸/pure_wind_순/pure_wind_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3c0e0736-98df-4b4b-87f3-46a47d39dad7.png
95,복,복 (운명/축복),✨ 버프/유틸 (16종),skill,1,-,"오복의 축복을 받아 무작위 이로운 버프 2종(공격력, 방어도, 힐)을 획득합니다.",playAttack,,./assets/07_버프_유틸/fortune_lucky_복/fortune_lucky_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/5954db97-6435-4f7e-8773-be8fd16176a2.png
96,금,금 (황금/가호),✨ 버프/유틸 (16종),skill,1,"방어도 8, 골드 +0.2",황금빛 가호로 8 방어도를 얻고 이번 전투 승리 시 골드 획득량이 +20% 증가합니다.,playAttack,,./assets/07_버프_유틸/gold_coin_금/gold_coin_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/b17b5a43-90c7-4f93-aa30-df206dd7c468.png
97,망,망 (도구/포획),✨ 버프/유틸 (16종),skill,1,-,그물을 던져 적을 1턴간 포박하여 적 공격력을 50% 약화시킵니다.,playShield,,./assets/02_방어_장비/net_망/net_1_32px.png,https://cdn.aetherforgeai.com/assets/93c234e9-c310-4993-a179-bf577227f7f4.png
98,송,송 (자연/송진),✨ 버프/유틸 (16종),skill,1,-,끈끈한 송진을 묻혀 적의 발을 묶고 다음 턴 적 공격력을 5 감소시킵니다.,playAttack,,./assets/07_버프_유틸/pine_resin_송/pine_resin_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/7b9967fb-96ad-4416-9b69-85aba8025e01.png
99,손,손 (신체/공명),✨ 버프/유틸 (16종),skill,1,-,손끝의 공명으로 손패의 자모 타일 1장을 원하는 다른 자모로 변환합니다.,playAttack,,./assets/07_버프_유틸/hand_magic_손/hand_magic_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/c25613a5-99a5-4a4b-b505-72069e9d680f.png
100,글,글 (지혜/탐색),✨ 버프/유틸 (16종),skill,1,-,문자의 지혜로 덱에서 원하는 자모 타일 1장을 직접 선택하여 손패로 가져옵니다.,playAttack,,./assets/07_버프_유틸/rune_script_글/rune_script_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/208182cc-3853-4fe9-a71c-a8f5380c01c9.png
