글자수,단어,타워 명칭,티어,카테고리,필요 자모 순서 (조합 공식),음절 분절 구조,공격력,사거리,공격속도,특수 효과 상세 설명,에셋 파일 경로
2글자,해자,해자 (함정/물웅덩이),2티어 (상위),defense,ㅎ + ㅏ + ㅣ + ㅈ + ㅏ,[ㅎㅏㅣ] ➔ [ㅈㅏ],22,160 px,0.81 초,[2글자 상위 타워] 성벽 앞 깊은 해자로 적들을 빠뜨려 22 피해 및 60% 슬로우를 줍니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
2글자,광선,광선 (레이저/집중조사),2티어 (상위),element,ㄱ + ㅗ + ㅏ + ㅇ + ㅅ + ㅓ + ㄴ,[ㄱㅗㅏㅇ] ➔ [ㅅㅓㄴ],28,190 px,0.77 초,[2글자 상위 타워] 고에너지 마력 광선을 집중 조사하여 28의 지속 관통 피해를 가합니다.,res://assets/03_원소_마법/light_빛/light_1_32px_pastel.png
2글자,광채,광채 (섬광/눈부심),2티어 (상위),element,ㄱ + ㅗ + ㅏ + ㅇ + ㅊ + ㅏ + ㅣ,[ㄱㅗㅏㅇ] ➔ [ㅊㅏㅣ],25,190 px,0.77 초,[2글자 상위 타워] 눈부신 성광을 터뜨려 적들을 실명시키고 25 피해를 줍니다.,res://assets/03_원소_마법/light_빛/light_1_32px_pastel.png
2글자,낙뢰,낙뢰 (번개/푸른낙뢰),2티어 (상위),element,ㄴ + ㅏ + ㄱ + ㄹ + ㅗ + ㅣ,[ㄴㅏㄱ] ➔ [ㄹㅗㅣ],32,190 px,0.77 초,[2글자 상위 타워] 하늘을 가르는 벼락으로 32 피해 및 감전 쇼크를 일으킵니다.,res://assets/03_원소_마법/thunder_뇌/thunder_1_32px_pastel.png
2글자,냉기,냉기 (극저온/서리폭풍),2티어 (상위),element,ㄴ + ㅏ + ㅣ + ㅇ + ㄱ + ㅣ,[ㄴㅏㅣㅇ] ➔ [ㄱㅣ],23,190 px,0.77 초,[2글자 상위 타워] 극저온 냉기를 뿜어 23 피해 및 광역 50% 둔화를 겁니다.,res://assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png
2글자,뇌우,뇌우 (번개비/전기폭풍),2티어 (상위),element,ㄴ + ㅗ + ㅣ + ㅇ + ㅜ,[ㄴㅗㅣ] ➔ [ㅇㅜ],31,190 px,0.77 초,[2글자 상위 타워] 번개를 동반한 뇌우를 내려쳐 31의 광역 감전 피해를 줍니다.,res://assets/03_원소_마법/thunder_뇌/thunder_1_32px_pastel.png
2글자,달빛,달빛 (월광/은빛마력),2티어 (상위),element,ㄷ + ㅏ + ㄹ + ㅂ + ㅣ + ㅊ,[ㄷㅏㄹ] ➔ [ㅂㅣㅊ],25,190 px,0.77 초,[2글자 상위 타워] 은빛 월광 세례를 내려 25의 신비로운 마법 피해를 가합니다.,res://assets/03_원소_마법/moon_달/moon_1_32px_pastel.png
2글자,대지,대지 (지진/지면파쇄),2티어 (상위),element,ㄷ + ㅏ + ㅣ + ㅈ + ㅣ,[ㄷㅏㅣ] ➔ [ㅈㅣ],26,190 px,0.77 초,[2글자 상위 타워] 대지를 진동시켜 26 피해와 함께 범위 내 적들을 1초간 기절시킵니다.,res://assets/03_원소_마법/earth_흙/earth_1_32px_pastel.png
2글자,돌풍,돌풍 (바람/고속절단),2티어 (상위),element,ㄷ + ㅗ + ㄹ + ㅍ + ㅜ + ㅇ,[ㄷㅗㄹ] ➔ [ㅍㅜㅇ],22,190 px,0.77 초,[2글자 상위 타워] 칼날 같은 돌풍을 일으켜 22 피해 및 적 40% 감속을 겁니다.,res://assets/03_원소_마법/wind_풍/wind_1_32px_pastel.png
2글자,맹독,맹독 (원소/치명부식),2티어 (상위),element,ㅁ + ㅏ + ㅣ + ㅇ + ㄷ + ㅗ + ㄱ,[ㅁㅏㅣㅇ] ➔ [ㄷㅗㄱ],16,190 px,0.77 초,[2글자 상위 타워] 16의 부식성 산성액을 투척하여 적들에게 초당 8의 치명적인 독 피해를 입힙니다.,res://assets/03_원소_마법/poison_독/poison_1_32px_pastel.png
2글자,바람,바람 (자연/신속관통),2티어 (상위),element,ㅂ + ㅏ + ㄹ + ㅏ + ㅁ,[ㅂㅏ] ➔ [ㄹㅏㅁ],20,190 px,0.77 초,[2글자 상위 타워] 날카로운 진공 칼날 3연발을 발사하여 일직선상의 적들을 관통합니다.,res://assets/03_원소_마법/wind_풍/wind_1_32px_pastel.png
2글자,벼락,벼락 (원소/연쇄감전),2티어 (상위),element,ㅂ + ㅕ + ㄹ + ㅏ + ㄱ,[ㅂㅕ] ➔ [ㄹㅏㄱ],30,190 px,0.77 초,[2글자 상위 타워] 하늘에서 벼락을 내리꽂아 30 번개 피해 및 최대 3체 적에게 연쇄 감전을 줍니다.,res://assets/03_원소_마법/thunder_뇌/thunder_1_32px_pastel.png
2글자,불꽃,불꽃 (화염/폭발),2티어 (상위),element,ㅂ + ㅜ + ㄹ + ㄱ + ㄱ + ㅗ + ㅊ,[ㅂㅜㄹ] ➔ [ㄱㄱㅗㅊ],24,190 px,0.77 초,[2글자 상위 타워] 24의 강력한 광역 화염 폭발을 일으키고 적들을 불태웁니다.,res://assets/03_원소_마법/fire_불/fire_1_32px_pastel.png
2글자,빙결,빙결 (냉기/절대동결),2티어 (상위),element,ㅂ + ㅣ + ㅇ + ㄱ + ㅕ + ㄹ,[ㅂㅣㅇ] ➔ [ㄱㅕㄹ],21,190 px,0.77 초,[2글자 상위 타워] 적 피격 시 즉시 1.5초간 완전 동결(빙결 정지)시킵니다.,res://assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png
2글자,빙마,빙마 (얼음귀신/혹한),2티어 (상위),element,ㅂ + ㅣ + ㅇ + ㅁ + ㅏ,[ㅂㅣㅇ] ➔ [ㅁㅏ],29,190 px,0.77 초,[2글자 상위 타워] 빙마의 혹한 폭풍으로 29 냉기 피해 및 결빙을 일으킵니다.,res://assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png
2글자,빙산,빙산 (거대빙하/낙하),2티어 (상위),element,ㅂ + ㅣ + ㅇ + ㅅ + ㅏ + ㄴ,[ㅂㅣㅇ] ➔ [ㅅㅏㄴ],28,190 px,0.77 초,[2글자 상위 타워] 거대한 빙산을 소환하여 적들 머리 위에 28 낙하 피해를 줍니다.,res://assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png
2글자,빙하,빙하 (만년설/서리포),2티어 (상위),element,ㅂ + ㅣ + ㅇ + ㅎ + ㅏ,[ㅂㅣㅇ] ➔ [ㅎㅏ],26,190 px,0.77 초,[2글자 상위 타워] 만년설의 서리 대포를 발사하여 26 피해 및 강력한 결빙을 겁니다.,res://assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png
2글자,산성,산성 (부식/방어파괴),2티어 (상위),element,ㅅ + ㅏ + ㄴ + ㅅ + ㅓ + ㅇ,[ㅅㅏㄴ] ➔ [ㅅㅓㅇ],23,190 px,0.77 초,[2글자 상위 타워] 부식성 산성액을 뿜어 적의 방어력을 0으로 만들며 23 피해를 가합니다.,res://assets/03_원소_마법/poison_독/poison_1_32px_pastel.png
2글자,섬광,섬광 (백색광/실명폭탄),2티어 (상위),element,ㅅ + ㅓ + ㅁ + ㄱ + ㅗ + ㅏ + ㅇ,[ㅅㅓㅁ] ➔ [ㄱㅗㅏㅇ],26,190 px,0.77 초,[2글자 상위 타워] 백색 섬광탄을 터뜨려 26 피해 및 적들의 시야를 앗아갑니다.,res://assets/03_원소_마법/light_빛/light_1_32px_pastel.png
2글자,안개,안개 (환영/혼란안개),2티어 (상위),element,ㅇ + ㅏ + ㄴ + ㄱ + ㅏ + ㅣ,[ㅇㅏㄴ] ➔ [ㄱㅏㅣ],18,190 px,0.77 초,[2글자 상위 타워] 짙은 안개를 피워올려 적들을 혼란에 빠뜨리고 18 지속 피해를 줍니다.,res://assets/03_원소_마법/water_물/water_1_32px_pastel.png
2글자,암석,암석 (바위탄/거석강타),2티어 (상위),element,ㅇ + ㅏ + ㅁ + ㅅ + ㅓ + ㄱ,[ㅇㅏㅁ] ➔ [ㅅㅓㄱ],27,190 px,0.77 초,[2글자 상위 타워] 단단한 거대 암석을 투척하여 27 물리 충격파를 발생시킵니다.,res://assets/03_원소_마법/earth_흙/earth_1_32px_pastel.png
2글자,암흑,암흑 (심연/어둠폭발),2티어 (상위),element,ㅇ + ㅏ + ㅁ + ㅎ + ㅡ + ㄱ,[ㅇㅏㅁ] ➔ [ㅎㅡㄱ],26,190 px,0.77 초,[2글자 상위 타워] 심연의 어둠 에너지를 폭발시켜 26 마법 피해를 입힙니다.,res://assets/03_원소_마법/dark_암/dark_1_32px_pastel.png
2글자,얼음,얼음 (빙결/극대둔화),2티어 (상위),element,ㅇ + ㅓ + ㄹ + ㅇ + ㅡ + ㅁ,[ㅇㅓㄹ] ➔ [ㅇㅡㅁ],18,190 px,0.77 초,[2글자 상위 타워] 18의 냉기 폭풍을 쏟아부어 범위 내 적들을 75% 극대 감속시킵니다.,res://assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png
2글자,열기,열기 (폭염/열파),2티어 (상위),element,ㅇ + ㅕ + ㄹ + ㄱ + ㅣ,[ㅇㅕㄹ] ➔ [ㄱㅣ],21,190 px,0.77 초,[2글자 상위 타워] 숨 막히는 열파를 방출하여 21 화염 피해를 입힙니다.,res://assets/03_원소_마법/fire_불/fire_1_32px_pastel.png
2글자,용암,용암 (마그마/화염바닥),2티어 (상위),element,ㅇ + ㅛ + ㅇ + ㅇ + ㅏ + ㅁ,[ㅇㅛㅇ] ➔ [ㅇㅏㅁ],27,190 px,0.77 초,[2글자 상위 타워] 바닥에 끓어오르는 용암 웅덩이를 깔아 초당 10의 화상 피해를 입힙니다.,res://assets/03_원소_마법/fire_불/fire_1_32px_pastel.png
2글자,운석,운석 (메테오/소형운석),2티어 (상위),element,ㅇ + ㅜ + ㄴ + ㅅ + ㅓ + ㄱ,[ㅇㅜㄴ] ➔ [ㅅㅓㄱ],34,190 px,0.77 초,[2글자 상위 타워] 하늘에서 불타는 소형 운석을 떨어뜨려 34의 파괴적인 충격을 줍니다.,res://assets/03_원소_마법/star_별/star_1_32px_pastel.png
2글자,유성,유성 (별빛/유성우),2티어 (상위),element,ㅇ + ㅠ + ㅅ + ㅓ + ㅇ,[ㅇㅠ] ➔ [ㅅㅓㅇ],28,190 px,0.77 초,[2글자 상위 타워] 반짝이는 유성 3발을 연속으로 쏟아부어 28 신성 피해를 입힙니다.,res://assets/03_원소_마법/star_별/star_1_32px_pastel.png
2글자,전기,전기 (전격/고압전류),2티어 (상위),element,ㅈ + ㅓ + ㄴ + ㄱ + ㅣ,[ㅈㅓㄴ] ➔ [ㄱㅣ],24,190 px,0.77 초,[2글자 상위 타워] 고압 전류를 방출하여 주변 적들을 지속적으로 지져버립니다.,res://assets/03_원소_마법/thunder_뇌/thunder_1_32px_pastel.png
2글자,지진,지진 (진동/대지충격파),2티어 (상위),element,ㅈ + ㅣ + ㅈ + ㅣ + ㄴ,[ㅈㅣ] ➔ [ㅈㅣㄴ],27,190 px,0.77 초,[2글자 상위 타워] 강력한 지진파를 일으켜 경로 상의 적들을 모두 넘어뜨립니다.,res://assets/03_원소_마법/earth_흙/earth_1_32px_pastel.png
2글자,태양,태양 (일광/태양폭풍),2티어 (상위),element,ㅌ + ㅏ + ㅣ + ㅇ + ㅑ + ㅇ,[ㅌㅏㅣ] ➔ [ㅇㅑㅇ],33,190 px,0.77 초,[2글자 상위 타워] 이글거리는 태양의 열기를 집중 조사하여 33 신성 화염 피해를 줍니다.,res://assets/03_원소_마법/sun_해/sun_1_32px_pastel.png
2글자,태풍,태풍 (폭풍/거대선풍),2티어 (상위),element,ㅌ + ㅏ + ㅣ + ㅍ + ㅜ + ㅇ,[ㅌㅏㅣ] ➔ [ㅍㅜㅇ],30,190 px,0.77 초,[2글자 상위 타워] 거대한 태풍의 눈을 소환하여 범위 내 적들을 빨아들이며 30 피해를 줍니다.,res://assets/03_원소_마법/wind_풍/wind_1_32px_pastel.png
2글자,폭약,폭약 (지뢰/폭탄설치),2티어 (상위),element,ㅍ + ㅗ + ㄱ + ㅇ + ㅑ + ㄱ,[ㅍㅗㄱ] ➔ [ㅇㅑㄱ],30,190 px,0.77 초,[2글자 상위 타워] 적의 길목에 폭약을 매설하여 30의 강력한 연쇄 폭발을 일으킵니다.,res://assets/03_원소_마법/explosion_폭/explosion_1_32px_pastel.png
2글자,폭우,폭우 (호우/수포격),2티어 (상위),element,ㅍ + ㅗ + ㄱ + ㅇ + ㅜ,[ㅍㅗㄱ] ➔ [ㅇㅜ],22,190 px,0.77 초,[2글자 상위 타워] 쏟아지는 폭우로 적들의 시야를 가리고 22 피해 및 50% 감속을 겁니다.,res://assets/03_원소_마법/water_물/water_1_32px_pastel.png
2글자,폭풍,폭풍 (바람/광역넉백),2티어 (상위),element,ㅍ + ㅗ + ㄱ + ㅍ + ㅜ + ㅇ,[ㅍㅗㄱ] ➔ [ㅍㅜㅇ],22,190 px,0.77 초,[2글자 상위 타워] 거대한 회오리바람으로 22 풍속 피해 및 범위 내 적들을 뒤로 강하게 밀어냅니다.,res://assets/03_원소_마법/wind_풍/wind_1_32px_pastel.png
2글자,한기,한기 (동토/서리),2티어 (상위),element,ㅎ + ㅏ + ㄴ + ㄱ + ㅣ,[ㅎㅏㄴ] ➔ [ㄱㅣ],20,190 px,0.77 초,[2글자 상위 타워] 서리 기운을 퍼뜨려 20 피해 및 적들을 둔화시킵니다.,res://assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png
2글자,해일,해일 (거대파도/수류),2티어 (상위),element,ㅎ + ㅏ + ㅣ + ㅇ + ㅣ + ㄹ,[ㅎㅏㅣ] ➔ [ㅇㅣㄹ],28,190 px,0.77 초,[2글자 상위 타워] 거대한 해일을 몰고 와 적들을 쓸어버리며 28 피해 및 넉백을 줍니다.,res://assets/03_원소_마법/water_물/water_1_32px_pastel.png
2글자,화구,화구 (화염탄/파이어볼),2티어 (상위),element,ㅎ + ㅗ + ㅏ + ㄱ + ㅜ,[ㅎㅗㅏ] ➔ [ㄱㅜ],27,190 px,0.77 초,[2글자 상위 타워] 거대한 파이어볼을 발사하여 착탄 지점에 27 화염 폭발을 일으킵니다.,res://assets/03_원소_마법/fire_불/fire_1_32px_pastel.png
2글자,화마,화마 (불도깨비/화염쇄도),2티어 (상위),element,ㅎ + ㅗ + ㅏ + ㅁ + ㅏ,[ㅎㅗㅏ] ➔ [ㅁㅏ],32,190 px,0.77 초,[2글자 상위 타워] 화마의 거대한 불길이 쇄도하여 32의 압도적 화염을 뿌립니다.,res://assets/03_원소_마법/fire_불/fire_1_32px_pastel.png
2글자,화염,화염 (원소/업화폭발),2티어 (상위),element,ㅎ + ㅗ + ㅏ + ㅇ + ㅕ + ㅁ,[ㅎㅗㅏ] ➔ [ㅇㅕㅁ],28,190 px,0.77 초,[2글자 상위 타워] 작열하는 거대 화염구를 투척하여 반경 내 적들에게 28 화염 피해를 입힙니다.,res://assets/03_원소_마법/fire_불/fire_1_32px_pastel.png
2글자,흑요,흑요 (흑요석/암흑결정),2티어 (상위),element,ㅎ + ㅡ + ㄱ + ㅇ + ㅛ,[ㅎㅡㄱ] ➔ [ㅇㅛ],28,190 px,0.77 초,[2글자 상위 타워] 날카로운 흑요석 파편을 난사하여 28 출혈 피해를 입힙니다.,res://assets/03_원소_마법/dark_암/dark_1_32px_pastel.png
2글자,가호,가호 (수호신/보호막),2티어 (상위),heal,ㄱ + ㅏ + ㅎ + ㅗ,[ㄱㅏ] ➔ [ㅎㅗ],23,175 px,0.72 초,[2글자 상위 타워] 신성한 가호로 23 피해를 가하고 기지 체력 +1 회복 기회를 얻습니다.,res://assets/05_회복_치유/life_생/life_1_32px_pastel.png
2글자,기적,기적 (은총/대역전),2티어 (상위),heal,ㄱ + ㅣ + ㅈ + ㅓ + ㄱ,[ㄱㅣ] ➔ [ㅈㅓㄱ],30,175 px,0.72 초,[2글자 상위 타워] 기적의 빛을 쏟아부어 30의 강력한 신성 피해를 입힙니다.,res://assets/05_회복_치유/life_생/life_1_32px_pastel.png
2글자,샘물,샘물 (영천/청량폭격),2티어 (상위),heal,ㅅ + ㅏ + ㅣ + ㅁ + ㅁ + ㅜ + ㄹ,[ㅅㅏㅣㅁ] ➔ [ㅁㅜㄹ],22,175 px,0.72 초,[2글자 상위 타워] 맑은 영천수를 쏘아올려 22 광역 피해 및 적들을 40% 감속시킵니다.,res://assets/05_회복_치유/spring_샘/spring_1_32px_pastel.png
2글자,생명,생명 (회복/영혼흡수),2티어 (상위),heal,ㅅ + ㅏ + ㅣ + ㅇ + ㅁ + ㅕ + ㅇ,[ㅅㅏㅣㅇ] ➔ [ㅁㅕㅇ],22,175 px,0.72 초,[2글자 상위 타워] 22의 강력한 영혼 흡수탄을 쏘아 기지 최대 체력을 +5 영구 증가시킵니다.,res://assets/05_회복_치유/life_생/life_1_32px_pastel.png
2글자,성수,성수 (정화수/악마퇴치),2티어 (상위),heal,ㅅ + ㅓ + ㅇ + ㅅ + ㅜ,[ㅅㅓㅇ] ➔ [ㅅㅜ],26,175 px,0.72 초,[2글자 상위 타워] 성수를 뿌려 26의 강력한 언데드/마수 퇴치 피해를 입힙니다.,res://assets/05_회복_치유/spring_샘/spring_1_32px_pastel.png
2글자,성역,성역 (신성/결계축복),2티어 (상위),heal,ㅅ + ㅓ + ㅇ + ㅇ + ㅕ + ㄱ,[ㅅㅓㅇ] ➔ [ㅇㅕㄱ],24,175 px,0.72 초,[2글자 상위 타워] 성역의 결계를 세워 24 신성 피해 및 아군 타워 공격력을 +20% 버프합니다.,res://assets/05_회복_치유/life_생/life_1_32px_pastel.png
2글자,영혼,영혼 (소울/영혼수확),2티어 (상위),heal,ㅇ + ㅕ + ㅇ + ㅎ + ㅗ + ㄴ,[ㅇㅕㅇ] ➔ [ㅎㅗㄴ],28,175 px,0.72 초,[2글자 상위 타워] 적의 영혼을 수확하여 28 피해 및 기지 생명력을 보충합니다.,res://assets/05_회복_치유/life_생/life_1_32px_pastel.png
2글자,재생,재생 (활력/초생),2티어 (상위),heal,ㅈ + ㅏ + ㅣ + ㅅ + ㅏ + ㅣ + ㅇ,[ㅈㅏㅣ] ➔ [ㅅㅏㅣㅇ],21,175 px,0.72 초,[2글자 상위 타워] 활력의 초생수를 뿜어 21 피해 및 기지 HP 재생력을 강화합니다.,res://assets/05_회복_치유/life_생/life_1_32px_pastel.png
2글자,정화,정화 (소멸/해악정화),2티어 (상위),heal,ㅈ + ㅓ + ㅇ + ㅎ + ㅗ + ㅏ,[ㅈㅓㅇ] ➔ [ㅎㅗㅏ],24,175 px,0.72 초,[2글자 상위 타워] 모든 사악한 기운을 정화하는 24의 광휘 레이저를 발사합니다.,res://assets/05_회복_치유/spring_샘/spring_1_32px_pastel.png
2글자,축복,축복 (신의가호/광휘),2티어 (상위),heal,ㅊ + ㅜ + ㄱ + ㅂ + ㅗ + ㄱ,[ㅊㅜㄱ] ➔ [ㅂㅗㄱ],25,175 px,0.72 초,[2글자 상위 타워] 신의 축복 빛을 내리쬐어 25 신성 피해 및 아군 타워 사거리를 +30px 늘립니다.,res://assets/05_회복_치유/life_생/life_1_32px_pastel.png
2글자,치료,치료 (약제/정화사격),2티어 (상위),heal,ㅊ + ㅣ + ㄹ + ㅛ,[ㅊㅣ] ➔ [ㄹㅛ],19,175 px,0.72 초,[2글자 상위 타워] 치료의 영약을 투척하여 19 피해 및 적들의 모든 버프를 해제합니다.,res://assets/05_회복_치유/spring_샘/spring_1_32px_pastel.png
2글자,치유,치유 (회복/성역포격),2티어 (상위),heal,ㅊ + ㅣ + ㅇ + ㅠ,[ㅊㅣ] ➔ [ㅇㅠ],20,175 px,0.72 초,"[2글자 상위 타워] 20의 성스러운 빛을 폭격하며, 매 웨이브 클리어 시 기지 HP를 +2 추가 회복합니다.",res://assets/05_회복_치유/spring_샘/spring_1_32px_pastel.png
2글자,회복,회복 (재생/생명샘),2티어 (상위),heal,ㅎ + ㅗ + ㅣ + ㅂ + ㅗ + ㄱ,[ㅎㅗㅣ] ➔ [ㅂㅗㄱ],20,175 px,0.72 초,[2글자 상위 타워] 20의 마법탄을 발사하며 매 초마다 기지 주변에 치유 오라를 방출합니다.,res://assets/05_회복_치유/spring_샘/spring_1_32px_pastel.png
2글자,가속,가속 (질주/공속극대화),2티어 (상위),skill,ㄱ + ㅏ + ㅅ + ㅗ + ㄱ,[ㄱㅏ] ➔ [ㅅㅗㄱ],20,180 px,0.21 초,[2글자 상위 타워] 20 피해를 입히며 주변 아군 타워 공격속도를 +50% 폭발적으로 증가시킵니다.,res://assets/06_버프_유틸/speed_속/speed_1_32px_pastel.png
2글자,결전,결전 (최후결전/투혼),2티어 (상위),skill,ㄱ + ㅕ + ㄹ + ㅈ + ㅓ + ㄴ,[ㄱㅕㄹ] ➔ [ㅈㅓㄴ],35,180 px,0.68 초,[2글자 상위 타워] 최후의 결전을 선언하며 35의 극대화된 투혼 참격을 작렬합니다.,res://assets/06_버프_유틸/mana_능/mana_1_32px_pastel.png
2글자,기운,기운 (영기/기공폭발),2티어 (상위),skill,ㄱ + ㅣ + ㅇ + ㅜ + ㄴ,[ㄱㅣ] ➔ [ㅇㅜㄴ],27,180 px,0.68 초,[2글자 상위 타워] 응축된 기운을 폭발시켜 27의 강력한 영기 충격파를 발생시킵니다.,res://assets/06_버프_유틸/ki_기/ki_1_32px_pastel.png
2글자,도약,도약 (비상/공중폭격),2티어 (상위),skill,ㄷ + ㅗ + ㅇ + ㅑ + ㄱ,[ㄷㅗ] ➔ [ㅇㅑㄱ],25,180 px,0.21 초,[2글자 상위 타워] 하늘 높이 도약하여 착지 지점에 25의 강력한 충격파를 줍니다.,res://assets/06_버프_유틸/speed_속/speed_1_32px_pastel.png
2글자,돌파,돌파 (강행돌파/파쇄),2티어 (상위),skill,ㄷ + ㅗ + ㄹ + ㅍ + ㅏ,[ㄷㅗㄹ] ➔ [ㅍㅏ],26,180 px,0.68 초,[2글자 상위 타워] 적의 방어선을 단숨에 돌파하여 26 관통 물리 피해를 입힙니다.,res://assets/06_버프_유틸/ki_기/ki_1_32px_pastel.png
2글자,마법,마법 (비전/마력유도),2티어 (상위),skill,ㅁ + ㅏ + ㅂ + ㅓ + ㅂ,[ㅁㅏ] ➔ [ㅂㅓㅂ],25,180 px,0.68 초,[2글자 상위 타워] 적을 추적하는 3개의 마력 유도탄을 발사하여 25의 강력한 비전 피해를 줍니다.,res://assets/06_버프_유틸/mana_능/mana_1_32px_pastel.png
2글자,명중,명중 (필중/백발백중),2티어 (상위),skill,ㅁ + ㅕ + ㅇ + ㅈ + ㅜ + ㅇ,[ㅁㅕㅇ] ➔ [ㅈㅜㅇ],27,180 px,0.68 초,[2글자 상위 타워] 절대 빗나가지 않는 필중의 화살로 27 관통 피해를 입힙니다.,res://assets/06_버프_유틸/mana_능/mana_1_32px_pastel.png
2글자,보물,보물 (유틸/황금포격),2티어 (상위),skill,ㅂ + ㅗ + ㅁ + ㅜ + ㄹ,[ㅂㅗ] ➔ [ㅁㅜㄹ],18,180 px,0.68 초,[2글자 상위 타워] 18의 황금 코인 탄환을 발사하며 이 타워가 적을 처치하면 2배의 골드를 획득합니다.,res://assets/06_버프_유틸/mana_능/mana_1_32px_pastel.png
2글자,분노,분노 (격노/피해증폭),2티어 (상위),skill,ㅂ + ㅜ + ㄴ + ㄴ + ㅗ,[ㅂㅜㄴ] ➔ [ㄴㅗ],32,180 px,0.68 초,[2글자 상위 타워] 타오르는 분노로 공격력이 극대화된 32의 격노탄을 발사합니다.,res://assets/06_버프_유틸/drum_북/drum_1_32px_pastel.png
2글자,비기,비기 (비술/감춰진힘),2티어 (상위),skill,ㅂ + ㅣ + ㄱ + ㅣ,[ㅂㅣ] ➔ [ㄱㅣ],32,180 px,0.68 초,[2글자 상위 타워] 숨겨진 비기를 발동하여 32의 강력한 마력 폭풍을 일으킵니다.,res://assets/06_버프_유틸/mana_능/mana_1_32px_pastel.png
2글자,승리,승리 (승전보/환호),2티어 (상위),skill,ㅅ + ㅡ + ㅇ + ㄹ + ㅣ,[ㅅㅡㅇ] ➔ [ㄹㅣ],33,180 px,0.68 초,[2글자 상위 타워] 승리의 축포를 쏘아올려 33 광역 폭발 피해를 입힙니다.,res://assets/06_버프_유틸/drum_북/drum_1_32px_pastel.png
2글자,신속,신속 (초고속/광속탄),2티어 (상위),skill,ㅅ + ㅣ + ㄴ + ㅅ + ㅗ + ㄱ,[ㅅㅣㄴ] ➔ [ㅅㅗㄱ],18,180 px,0.21 초,[2글자 상위 타워] 공격 쿨타임 0.20초로 초당 5회 이상의 광속 탄환을 난사합니다.,res://assets/06_버프_유틸/speed_속/speed_1_32px_pastel.png
2글자,약탈,약탈 (노획/골드강탈),2티어 (상위),skill,ㅇ + ㅑ + ㄱ + ㅌ + ㅏ + ㄹ,[ㅇㅑㄱ] ➔ [ㅌㅏㄹ],24,180 px,0.68 초,[2글자 상위 타워] 적을 타격할 때마다 1G씩 골드를 강탈하며 24 피해를 입힙니다.,res://assets/06_버프_유틸/net_망/net_1_32px_pastel.png
2글자,오의,오의 (비기/문파오의),2티어 (상위),skill,ㅇ + ㅗ + ㅇ + ㅡ + ㅣ,[ㅇㅗ] ➔ [ㅇㅡㅣ],34,180 px,0.68 초,[2글자 상위 타워] 비전 오의를 개방하여 34의 화려한 연환계를 가합니다.,res://assets/06_버프_유틸/ki_기/ki_1_32px_pastel.png
2글자,은화,은화 (은전/은화투척),2티어 (상위),skill,ㅇ + ㅡ + ㄴ + ㅎ + ㅗ + ㅏ,[ㅇㅡㄴ] ➔ [ㅎㅗㅏ],22,180 px,0.68 초,[2글자 상위 타워] 날카롭게 연마된 은화를 연속 투척하여 22 피해를 줍니다.,res://assets/06_버프_유틸/mana_능/mana_1_32px_pastel.png
2글자,주문,주문 (비전/비전문자),2티어 (상위),skill,ㅈ + ㅜ + ㅁ + ㅜ + ㄴ,[ㅈㅜ] ➔ [ㅁㅜㄴ],26,180 px,0.68 초,[2글자 상위 타워] 고대 활자 주문을 영창하여 26의 마법 광역 폭격을 퍼붓습니다.,res://assets/06_버프_유틸/mana_능/mana_1_32px_pastel.png
2글자,진격,진격 (돌격명령/사기충천),2티어 (상위),skill,ㅈ + ㅣ + ㄴ + ㄱ + ㅕ + ㄱ,[ㅈㅣㄴ] ➔ [ㄱㅕㄱ],26,180 px,0.68 초,[2글자 상위 타워] 진격 나팔을 불어 26 피해 및 전 타워 공격력을 +15% 증가시킵니다.,res://assets/06_버프_유틸/drum_북/drum_1_32px_pastel.png
2글자,집중,집중 (명경지수/치명타),2티어 (상위),skill,ㅈ + ㅣ + ㅂ + ㅈ + ㅜ + ㅇ,[ㅈㅣㅂ] ➔ [ㅈㅜㅇ],28,180 px,0.68 초,[2글자 상위 타워] 극도의 집중력으로 100% 치명타율의 28 정밀 탄환을 쏩니다.,res://assets/06_버프_유틸/mana_능/mana_1_32px_pastel.png
2글자,징벌,징벌 (심판/신의철퇴),2티어 (상위),skill,ㅈ + ㅣ + ㅇ + ㅂ + ㅓ + ㄹ,[ㅈㅣㅇ] ➔ [ㅂㅓㄹ],31,180 px,0.68 초,[2글자 상위 타워] 신의 징벌 철퇴를 내리쳐 31의 압도적인 단일 파쇄 피해를 가합니다.,res://assets/06_버프_유틸/ki_기/ki_1_32px_pastel.png
2글자,축제,축제 (환호/황금축제),2티어 (상위),skill,ㅊ + ㅜ + ㄱ + ㅈ + ㅓ + ㅣ,[ㅊㅜㄱ] ➔ [ㅈㅓㅣ],25,180 px,0.68 초,[2글자 상위 타워] 전장에 축제를 열어 25 피해 및 골드 획득량을 대폭 증가시킵니다.,res://assets/06_버프_유틸/drum_북/drum_1_32px_pastel.png
